Track Name,Album Name,Duration (ms),Explicit,Track Number
Starboy (feat. Daft Punk),Starboy (Deluxe),230461,True,1
Party Monster,Starboy (Deluxe),249207,True,2
False Alarm,Starboy (Deluxe),220308,False,3
Reminder,Starboy (Deluxe),218879,True,4
Rockin’,Starboy (Deluxe),232881,True,5
Secrets,Starboy (Deluxe),265607,False,6
True Colors,Starboy (Deluxe),206034,False,7
Stargirl Interlude (feat. Lana Del Rey),Starboy (Deluxe),111611,False,8
Sidewalks (feat. Kendrick Lamar),Starboy (Deluxe),231357,True,9
Six Feet Under,Starboy (Deluxe),237576,True,10
Love To Lay,Starboy (Deluxe),223301,False,11
A Lonely Night,Starboy (Deluxe),220170,False,12
Attention,Starboy (Deluxe),197649,True,13
Ordinary Life,Starboy (Deluxe),221913,False,14
Nothing Without You,Starboy (Deluxe),198654,False,15
All I Know (feat. Future),Starboy (Deluxe),321031,True,16
Die For You,Starboy (Deluxe),260255,False,17
I Feel It Coming (feat. Daft Punk),Starboy (Deluxe),269176,False,18
Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),232857,False,19
Starboy (feat. Daft Punk) - Kygo Remix,Starboy (Deluxe),244720,True,20
Reminder (feat. A$AP Rocky & Young Thug) - Remix,Starboy (Deluxe),221968,True,21
Intro - Live,Live At SoFi Stadium,95813,False,1
Alone Again - Live,Live At SoFi Stadium,167253,True,2
Gasoline - Live,Live At SoFi Stadium,195635,False,3
Sacrifice - Live,Live At SoFi Stadium,263240,True,4
How Do I Make You Love Me? - Live,Live At SoFi Stadium,209040,False,5
Can't Feel My Face - Live,Live At SoFi Stadium,183888,False,6
Take My Breath - Live,Live At SoFi Stadium,235966,False,7
Hurricane - Live,Live At SoFi Stadium,127527,False,8
The Hills - Live,Live At SoFi Stadium,185361,True,9
Often - Live,Live At SoFi Stadium,148878,True,10
Crew Love - Live,Live At SoFi Stadium,113460,True,11
Starboy - Live,Live At SoFi Stadium,245818,True,12
Heartless - Live,Live At SoFi Stadium,124255,True,13
Low Life - Live,Live At SoFi Stadium,107256,True,14
Or Nah - Live,Live At SoFi Stadium,101450,True,15
Kiss Land - Live,Live At SoFi Stadium,110315,True,16
Party Monster - Live,Live At SoFi Stadium,189883,True,17
Faith - Live,Live At SoFi Stadium,185016,True,18
After Hours - Live,Live At SoFi Stadium,267912,False,19
Out of Time - Live,Live At SoFi Stadium,200934,False,20
I Feel It Coming - Live,Live At SoFi Stadium,234114,False,21
Die For You - Live,Live At SoFi Stadium,193394,True,22
Is There Someone Else? - Live,Live At SoFi Stadium,237904,False,23
I Was Never There - Live,Live At SoFi Stadium,137149,False,24
Wicked Games - Live,Live At SoFi Stadium,143082,True,25
Call Out My Name - Live,Live At SoFi Stadium,242899,False,26
The Morning - Live,Live At SoFi Stadium,199802,True,27
Save Your Tears - Live,Live At SoFi Stadium,178187,True,28
Less Than Zero - Live,Live At SoFi Stadium,244479,True,29
Blinding Lights - Live,Live At SoFi Stadium,253365,True,30
Outro - Live,Live At SoFi Stadium,199781,True,31
Dawn FM,Dawn FM (Alternate World),96240,False,1
Gasoline,Dawn FM (Alternate World),212165,False,2
How Do I Make You Love Me?,Dawn FM (Alternate World),214214,False,3
Take My Breath,Dawn FM (Alternate World),339023,False,4
Sacrifice,Dawn FM (Alternate World),188918,True,5
A Tale By Quincy,Dawn FM (Alternate World),96214,True,6
Out of Time,Dawn FM (Alternate World),214190,False,7
"Here We Go… Again (feat. Tyler, the Creator)",Dawn FM (Alternate World),209777,True,8
Best Friends,Dawn FM (Alternate World),163504,False,9
Is There Someone Else?,Dawn FM (Alternate World),199111,False,10
Starry Eyes,Dawn FM (Alternate World),148000,False,11
Every Angel is Terrifying,Dawn FM (Alternate World),167255,False,12
Don’t Break My Heart,Dawn FM (Alternate World),205469,False,13
I Heard You're Married (feat. Lil Wayne),Dawn FM (Alternate World),263641,True,14
Less Than Zero,Dawn FM (Alternate World),211814,False,15
Phantom Regret by Jim,Dawn FM (Alternate World),179580,False,16
Moth To A Flame (with The Weeknd),Dawn FM (Alternate World),234000,False,17
Dawn FM - OPN Remix,Dawn FM (Alternate World),183827,False,18
How Do I Make You Love Me? - Sebastian Ingrosso & Salvatore Ganacci Remix,Dawn FM (Alternate World),217766,False,19
Sacrifice (Remix) (feat. Swedish House Mafia),Dawn FM (Alternate World),238032,True,20
Out of Time - KAYTRANADA Remix,Dawn FM (Alternate World),275555,False,21
Best Friends - Remix,Dawn FM (Alternate World),175071,False,22
Starry Eyes - MIKE DEAN Remix,Dawn FM (Alternate World),198222,False,23
Take My Breath - Single Version,Dawn FM (Alternate World),220196,False,24
