Song Name,Album,Genre,Popularity,Genre Filtered
Timeless (with Playboi Carti),Timeless,"canadian contemporary r&b, canadian pop, pop",92,canadian contemporary r&b
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),"canadian contemporary r&b, canadian pop, pop",90,canadian contemporary r&b
Starboy,Starboy,"canadian contemporary r&b, canadian pop, pop",87,canadian contemporary r&b
Blinding Lights,After Hours,"canadian contemporary r&b, canadian pop, pop",87,canadian contemporary r&b
São Paulo (feat. Anitta),São Paulo,"canadian contemporary r&b, canadian pop, pop",86,canadian contemporary r&b
Die For You,Starboy,"canadian contemporary r&b, canadian pop, pop",84,canadian contemporary r&b
Save Your Tears,After Hours,"canadian contemporary r&b, canadian pop, pop",84,canadian contemporary r&b
Timeless (with Playboi Carti),Timeless,"canadian contemporary r&b, canadian pop, pop",92,canadian pop
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),"canadian contemporary r&b, canadian pop, pop",90,canadian pop
Starboy,Starboy,"canadian contemporary r&b, canadian pop, pop",87,canadian pop
Blinding Lights,After Hours,"canadian contemporary r&b, canadian pop, pop",87,canadian pop
São Paulo (feat. Anitta),São Paulo,"canadian contemporary r&b, canadian pop, pop",86,canadian pop
Die For You,Starboy,"canadian contemporary r&b, canadian pop, pop",84,canadian pop
Save Your Tears,After Hours,"canadian contemporary r&b, canadian pop, pop",84,canadian pop
Timeless (with Playboi Carti),Timeless,"canadian contemporary r&b, canadian pop, pop",92,pop
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),"canadian contemporary r&b, canadian pop, pop",90,pop
Starboy,Starboy,"canadian contemporary r&b, canadian pop, pop",87,pop
Blinding Lights,After Hours,"canadian contemporary r&b, canadian pop, pop",87,pop
São Paulo (feat. Anitta),São Paulo,"canadian contemporary r&b, canadian pop, pop",86,pop
Die For You,Starboy,"canadian contemporary r&b, canadian pop, pop",84,pop
Save Your Tears,After Hours,"canadian contemporary r&b, canadian pop, pop",84,pop
