Track Name,Album Name,Release Date
Starboy (feat. Daft Punk),Starboy (Deluxe),2023-03-14
Party Monster,Starboy (Deluxe),2023-03-14
False Alarm,Starboy (Deluxe),2023-03-14
Reminder,Starboy (Deluxe),2023-03-14
Rockin’,Starboy (Deluxe),2023-03-14
Secrets,Starboy (Deluxe),2023-03-14
True Colors,Starboy (Deluxe),2023-03-14
Stargirl Interlude (feat. Lana Del Rey),Starboy (Deluxe),2023-03-14
Sidewalks (feat. Kendrick Lamar),Starboy (Deluxe),2023-03-14
Six Feet Under,Starboy (Deluxe),2023-03-14
Love To Lay,Starboy (Deluxe),2023-03-14
A Lonely Night,Starboy (Deluxe),2023-03-14
Attention,Starboy (Deluxe),2023-03-14
Ordinary Life,Starboy (Deluxe),2023-03-14
Nothing Without You,Starboy (Deluxe),2023-03-14
All I Know (feat. Future),Starboy (Deluxe),2023-03-14
Die For You,Starboy (Deluxe),2023-03-14
I Feel It Coming (feat. Daft Punk),Starboy (Deluxe),2023-03-14
Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),2023-03-14
Starboy (feat. Daft Punk) - Kygo Remix,Starboy (Deluxe),2023-03-14
Reminder (feat. A$AP Rocky & Young Thug) - Remix,Starboy (Deluxe),2023-03-14
Intro - Live,Live At SoFi Stadium,2023-03-03
Alone Again - Live,Live At SoFi Stadium,2023-03-03
Gasoline - Live,Live At SoFi Stadium,2023-03-03
Sacrifice - Live,Live At SoFi Stadium,2023-03-03
How Do I Make You Love Me? - Live,Live At SoFi Stadium,2023-03-03
Can't Feel My Face - Live,Live At SoFi Stadium,2023-03-03
Take My Breath - Live,Live At SoFi Stadium,2023-03-03
Hurricane - Live,Live At SoFi Stadium,2023-03-03
The Hills - Live,Live At SoFi Stadium,2023-03-03
Often - Live,Live At SoFi Stadium,2023-03-03
Crew Love - Live,Live At SoFi Stadium,2023-03-03
Starboy - Live,Live At SoFi Stadium,2023-03-03
